captured_at,compass_angle,creator_id,id,is_pano,organization_id,sequence_id,image_url,geometry,index_right,index,Image reference,Coder name,Coding date,Road survey date,Road name,Section,Distance,Length,Latitude start,Longitude start,Landmark,Comments,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,Vehicle flow (AADT),Motorcycle %,Pedestrian peak hour flow across the road,Pedestrian peak hour flow along the road driver-side,Pedestrian peak hour flow along the road passenger-side,Bicycle peak hour flow,Operating Speed (85th percentile),Operating Speed (mean),Roads that cars can read,Vehicle Occupant Star Rating Policy Target,Motorcycle Star Rating Policy Target,Pedestrian Star Rating Policy Target,Bicycle Star Rating Policy Target,Annual Fatality Growth Multiplier,School zone warning,School zone crossing supervisor,Latitude end,Longitude end,route,control,control_name,km_start_fraction,km_end_fraction,image_id
1658505653000,0.0,104836952319533,1110533979576197,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An9vHrRNrxwWRJrBcDgJnj-_VNjuvTK6kSyAPBXe0bVEVttH1JVCWUqYAXf3jk_8j9pKs7YMWjzOdXvKg4F9s7Az-0GPGQFaRoplXH3khMl2hZgNTYdZJUBx95zG7JhiNWoeVSDbFOh5tgGukPenZw?stp=s2048x1024&ccb=10-5&oh=00_AYBOQCVOHUpBmfFY2LLY-Si-FoV3IzQEJjkTDgynyf-7fA&oe=66DF250A&_nc_sid=201bca,POINT (100.62506675720215 13.923705892051672),0,1,"['24700_24800_24440_2.jpg', '24700_24800_24440_3.jpg', '24700_24800_24440_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.0,13.92368603,100.6249771,,2672,1,3,1,1,1,1,1,1,4,2,11,11,7,2,6,1,2,13,1,15,1,3,3,12,1,7,3,1,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92456149,100.6256005,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24700,24800,1
1658505649000,0.0,104836952319533,2649798185154067,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An9FE5BjBgtfTc16H8-HwNK0PCPC0BLHyirypy3Y2m9uqEDQC8qSnTSsU78UbETKb044Y8aRgAJm5elY1lEXG3Btpnqahn5Ui9NPmD0AB9OJNiIWko_uhvil6lqs3foQ6n8AbqKYeubRLOUWfvDasA?stp=s2048x1024&ccb=10-5&oh=00_AYCKTbJ-8VaSi-oOTiZF9I0sI8PVTpqWX9-raF4YRZ-CPw&oe=66DF32EE&_nc_sid=201bca,POINT (100.62511503696442 13.92362258331086),0,1,"['24700_24800_24440_2.jpg', '24700_24800_24440_3.jpg', '24700_24800_24440_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.0,13.92368603,100.6249771,,2672,1,3,1,1,1,1,1,1,4,2,11,11,7,2,6,1,2,13,1,15,1,3,3,12,1,7,3,1,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92456149,100.6256005,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24700,24800,2
1658505652000,0.0,104836952319533,472023540930744,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An-LnkSUvvPaxrCsLTYdcg4lOqxIOnSmf9-ZX3yThk9Tmqf9gLsdSVzVH3x7NJUVZVW0SFcqzZsiYwjavH_r2v4SxvVZEkl9Tmq0rvtHRBhSznxHvgiUDOohgRz3L3mILGUUNkKrC-p-XIK0BLLIqw?stp=s2048x1024&ccb=10-5&oh=00_AYAoReHsyy5KCttlQ-lu7quzlH3f6RprPWZ1OHg2dd8Y1A&oe=66DF3E47&_nc_sid=201bca,POINT (100.62506139278412 13.92367465127738),0,1,"['24700_24800_24440_2.jpg', '24700_24800_24440_3.jpg', '24700_24800_24440_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.0,13.92368603,100.6249771,,2672,1,3,1,1,1,1,1,1,4,2,11,11,7,2,6,1,2,13,1,15,1,3,3,12,1,7,3,1,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92456149,100.6256005,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24700,24800,3
1658505655000,0.0,104836952319533,738215474147285,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An8wwitBWLamQR6GvwxV-woJyHgTCob-3jg1l-qrNNlm8JV6ziq_2rXCYQPdlsLD1QxGJl5x6Y5gL8vp8AhCfxki97SBS59kdYaAHmje7fhkqGh9DSxbMio-aNNjpQaDu-SR5Qb9DT1TK7E_sb7W8R8?stp=s2048x1024&ccb=10-5&oh=00_AYAwh3Y3-hnl8mJxNcKFmlYneRFPDM-8BvQkrgdNHEjwBg&oe=66DF177A&_nc_sid=201bca,POINT (100.62509894371033 13.923773580381464),0,1,"['24700_24800_24440_2.jpg', '24700_24800_24440_3.jpg', '24700_24800_24440_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.0,13.92368603,100.6249771,,2672,1,3,1,1,1,1,1,1,4,2,11,11,7,2,6,1,2,13,1,15,1,3,3,12,1,7,3,1,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92456149,100.6256005,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24700,24800,4
1658505666000,0.0,104836952319533,1416111178882598,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An_G-_-N7WlEGxMZ6J8mFro_LoaLPOvJk5l4G0DFe0RyHiSeF2l6daq1nGCa61mctXWSZYrOY_qR-yV66M8LLeF7O42wZW_cwqBuoYyzY60-gGVGuNsHxxuUzrAy01bE_jCGyICtGD4rpH7yKCRxsQ?stp=s2048x1024&ccb=10-5&oh=00_AYDV7BFxGrzbKxl4ooRE4diAUzAoKCHns-5q9MItDMM8iw&oe=66DF33EB&_nc_sid=201bca,POINT (100.62552273273468 13.92449732359161),1,2,"['24800_24900_24441_1.jpg', '24800_24900_24441_2.jpg', '24800_24900_24441_3.jpg', '24800_24900_24441_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.1,13.92443275,100.625412,,2672,1,3,2,1,1,1,1,1,4,2,11,11,7,2,6,1,2,13,2,13,1,3,3,4,2,5,1,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,2,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92534035,100.6260616,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24800,24900,5
1658505663000,0.0,104836952319533,157551123610449,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An-0NafARYpmC_bxPltqptleXoZC2d382VkCj5Ls3Fb_sZ2i1yrz-d9oqP5hFA03ebKAoenfvzRmSjE1bEzDRQcQLWqAefqRGkLvH1wF_d4i63bO3FH9JFMVGQbAgNeNS2JR3ZMWlrAHUK4MJtYMTA?stp=s2048x1024&ccb=10-5&oh=00_AYAZ6lHgbGiA1T-jqQHidcw3UGzEFP1MIS5v9BohxdPo8Q&oe=66DF30D3&_nc_sid=201bca,POINT (100.62539935112 13.924289052396503),1,2,"['24800_24900_24441_1.jpg', '24800_24900_24441_2.jpg', '24800_24900_24441_3.jpg', '24800_24900_24441_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.1,13.92443275,100.625412,,2672,1,3,2,1,1,1,1,1,4,2,11,11,7,2,6,1,2,13,2,13,1,3,3,4,2,5,1,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,2,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92534035,100.6260616,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24800,24900,6
1658505663500,0.0,104836952319533,390170163185536,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An8fe0yl3hlFCxB1zU6oETUVMaoglxoKAhCkttQ3dnMjtycL3IRbIU3rcyhzCPjcJuGmCRF1oMYOTBqEf1gf_jXWaJbOTIw6BZA6Lg74CheNgAsMYY3vV8stnqlN3BedvcBS57kbdjdV1gpt-Q_-tQ?stp=s2048x1024&ccb=10-5&oh=00_AYDSfQ0EXWebzh6WDq_Z38UCjZaiD4umzGG6jGuVRYn92Q&oe=66DF2603&_nc_sid=201bca,POINT (100.62541544437408 13.924309879524444),1,2,"['24800_24900_24441_1.jpg', '24800_24900_24441_2.jpg', '24800_24900_24441_3.jpg', '24800_24900_24441_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.1,13.92443275,100.625412,,2672,1,3,2,1,1,1,1,1,4,2,11,11,7,2,6,1,2,13,2,13,1,3,3,4,2,5,1,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,2,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92534035,100.6260616,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24800,24900,7
1658505664000,0.0,104836952319533,565650625254081,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An-A-mIDsrTYx4q222MEHN8gAbU59tnUPykGXAnF35SKWaLsG8THoKQg0yCj1oy6DBEikFERXUQsM0t-9zr40-YOfYEohHbN6T_Ns1Qa6cRk1AbbQm9pwAKVzroYfWs-zSEim_DlGao9w8iLeEUK8c8?stp=s2048x1024&ccb=10-5&oh=00_AYANf-NiYTzdH6pS2Jju8kGklYaDfz3tYMZtVwE7tFM9Vw&oe=66DF1A1F&_nc_sid=201bca,POINT (100.62543153762817 13.924341120212887),1,2,"['24800_24900_24441_1.jpg', '24800_24900_24441_2.jpg', '24800_24900_24441_3.jpg', '24800_24900_24441_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.1,13.92443275,100.625412,,2672,1,3,2,1,1,1,1,1,4,2,11,11,7,2,6,1,2,13,2,13,1,3,3,4,2,5,1,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,2,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92534035,100.6260616,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24800,24900,8
1658505675500,0.0,104836952319533,753769772570590,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An_hR5KUVKkInzYbUc8UCkYshgUzNnAlNfkaQIEdR4P5ZgBonSo4wwSrf4q-aIDcwqojxr59pA_-Jw3v1hrvCH0kHwRNCxXmtA3gibfL0t-BC_mUGWfh_8vgTEO7JsJRcPban2Ups_8pnfOjBjRlCA?stp=s2048x1024&ccb=10-5&oh=00_AYCA9iaHG-vinaxHpyZvaMHnRgx96TbIHFors9u-WtX-QQ&oe=66DF18F8&_nc_sid=201bca,POINT (100.62598407268524 13.925304372699728),2,3,"['24900_25000_24442_1.jpg', '24900_25000_24442_2.jpg', '24900_25000_24442_3.jpg', '24900_25000_24442_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.2,13.92521381,100.625885,,2672,1,3,1,1,1,1,1,1,1,2,11,11,7,2,6,1,1,13,1,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92615236,100.6264547,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24900,25000,9
1658505674000,0.0,104836952319533,1387673201724458,True,847816602847945,7D138EP5iYGfTAhnerv9uQ,https://scontent-lhr8-2.xx.fbcdn.net/m1/v/t6/An9VzT8xpxNhH4eyVK6u4c-TO0MmKnadCReSoPhgRh5JhP4klFZuhmGgadHaUDEcA5qsz9PN2gO7ciN-HcRfqv1wcxuj5zDAdsCuD6aSCzoUSz5vmmQOkU_lhhlra_jw6opizhFd6LHgM-HV2EJXpg?stp=s2048x1024&ccb=10-5&oh=00_AYAVFx8CsJ3TSYRU6chjiHGAdx0veQ9Oe8L034CTcEeKsQ&oe=66DF1F32&_nc_sid=201bca,POINT (100.62590897083282 13.925168996917051),2,3,"['24900_25000_24442_1.jpg', '24900_25000_24442_2.jpg', '24900_25000_24442_3.jpg', '24900_25000_24442_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.2,13.92521381,100.625885,,2672,1,3,1,1,1,1,1,1,1,2,11,11,7,2,6,1,1,13,1,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92615236,100.6264547,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24900,25000,10
