index,Image reference,Coder name,Coding date,Road survey date,Road name,Section,Distance,Length,Latitude start,Longitude start,Landmark,Comments,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,Vehicle flow (AADT),Motorcycle %,Pedestrian peak hour flow across the road,Pedestrian peak hour flow along the road driver-side,Pedestrian peak hour flow along the road passenger-side,Bicycle peak hour flow,Operating Speed (85th percentile),Operating Speed (mean),Roads that cars can read,Vehicle Occupant Star Rating Policy Target,Motorcycle Star Rating Policy Target,Pedestrian Star Rating Policy Target,Bicycle Star Rating Policy Target,Annual Fatality Growth Multiplier,School zone warning,School zone crossing supervisor,Latitude end,Longitude end,route,control,control_name,km_start_fraction,km_end_fraction,image_id
1,"['24700_24800_24440_2.jpg', '24700_24800_24440_3.jpg', '24700_24800_24440_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0,13.92368603,100.6249771,,2672,1,3,1,1,1,1,1,1,4,2,11,11,7,1,6,1,2,13,1,15,1,3,3,12,1,7,3,1,3,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92456149,100.6256005,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24700,24800,1
2,"['24800_24900_24441_1.jpg', '24800_24900_24441_2.jpg', '24800_24900_24441_3.jpg', '24800_24900_24441_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.1,13.92443275,100.625412,,2672,1,3,2,1,1,1,1,1,4,2,11,11,7,1,6,1,2,13,2,13,1,3,3,4,2,5,1,1,4,1,1,3,1,1,1,1,2,1,1,7,1,1,2,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92534035,100.6260616,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24800,24900,4
3,"['24900_25000_24442_1.jpg', '24900_25000_24442_2.jpg', '24900_25000_24442_3.jpg', '24900_25000_24442_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.2,13.92521381,100.625885,,2672,1,3,1,1,1,1,1,1,1,2,11,11,7,1,6,1,1,13,1,12,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92615236,100.6264547,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,24900,25000,8
4,"['25000_25100_24443_1.jpg', '25000_25100_24443_2.jpg', '25000_25100_24443_3.jpg', '25000_25100_24443_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.3,13.92602158,100.6262894,,2672,1,3,2,1,1,1,1,1,4,2,11,11,7,1,6,1,1,1,2,12,1,3,3,1,2,4,1,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92704796,100.6265315,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,25000,25100,12
5,"['25100_25200_24444_1.jpg', '25100_25200_24444_2.jpg', '25100_25200_24444_3.jpg', '25100_25200_24444_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.4,13.92690659,100.6264267,,2672,1,3,2,1,1,1,1,1,4,2,11,11,7,1,6,1,1,1,1,12,1,3,3,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92794016,100.6263795,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,25100,25200,16
6,"['25200_25300_24445_1.jpg', '25200_25300_24445_2.jpg', '25200_25300_24445_3.jpg', '25200_25300_24445_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.5,13.92780018,100.6262894,,2672,1,3,2,1,1,1,1,1,4,2,11,11,7,1,6,1,1,13,2,11,1,3,3,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,3,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92883082,100.6262184,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,25200,25300,20
7,"['25300_25400_24446_1.jpg', '25300_25400_24446_2.jpg', '25300_25400_24446_3.jpg', '25300_25400_24446_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.6,13.92869186,100.6261292,,2672,1,3,1,1,1,1,1,1,4,2,11,11,7,1,6,1,1,12,2,12,1,3,3,5,2,3,1,1,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.92972184,100.6260592,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,25300,25400,24
8,"['25400_25500_24447_1.jpg', '25400_25500_24447_2.jpg', '25400_25500_24447_3.jpg', '25400_25500_24447_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.7,13.9295826,100.6259689,,2672,1,3,1,1,1,1,1,1,3,2,11,11,7,1,6,1,1,12,1,11,1,3,3,12,1,7,3,4,4,1,1,3,1,1,1,1,2,1,1,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.93061281,100.6259001,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,25400,25500,28
9,"['25500_25600_24448_1.jpg', '25500_25600_24448_2.jpg', '25500_25600_24448_3.jpg', '25500_25600_24448_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.8,13.93047333,100.6258087,,2672,1,3,3,1,1,1,1,1,1,2,11,11,7,1,6,1,1,12,2,12,1,3,3,12,1,7,3,4,4,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.93150353,100.6257393,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,25500,25600,32
10,"['25600_25700_24449_1.jpg', '25600_25700_24449_2.jpg', '25600_25700_24449_3.jpg', '25600_25700_24449_4.jpg']",staff_cu,10/12/2023,,1,102,0.1,0.9,13.93136597,100.6256485,,2672,1,3,3,1,1,1,1,1,4,2,11,11,7,1,6,1,1,12,2,11,1,3,3,12,1,7,3,1,4,1,1,3,1,1,1,1,2,5,1,7,1,1,1,5,2,1,6,4,1,1,22573,3,2,2,3,1,11,11,1,1,3,3,3,1,4,3,13.93239408,100.6255776,1,102,à¹à¸¢à¸à¸„à¸›à¸­. - à¸ªà¸™à¸²à¸¡à¸à¸µà¸¬à¸²à¸˜à¸¹à¸›à¸°à¹€à¸•à¸¡à¸µà¸¢à¹Œ,25600,25700,36
