index,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,School zone warning,School zone crossing supervisor
1,1,3,1,1,1,1,1,1,1,2,11,11,7,2,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
2,3,3,1,1,1,1,1,4,4,2,11,11,7,2,11,1,4,1,4,1,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,5,1,6,4,1,1,4,3
3,1,3,1,1,1,1,1,1,1,2,11,11,7,2,2,1,4,2,4,2,1,4,4,8,1,4,1,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
4,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,2,1,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
5,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
6,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,1,2,1,1,3,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,2,5,1,6,4,1,1,4,3
7,1,3,1,1,1,1,1,1,4,2,13,13,11,1,2,1,4,2,3,2,1,4,3,10,2,4,1,1,3,1,1,3,1,1,1,1,2,7,3,7,1,1,2,5,4,1,6,4,1,1,4,3
8,1,3,1,1,1,1,1,1,3,2,13,13,11,1,2,1,4,2,3,2,1,1,2,10,2,4,1,2,3,1,1,3,1,1,1,1,2,7,3,7,1,1,1,2,3,1,6,4,1,1,4,3
9,1,3,1,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,1,1,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
10,1,3,3,1,1,1,1,1,1,2,13,13,11,1,2,1,4,2,4,2,1,4,4,12,1,7,3,4,2,1,1,3,1,1,1,1,2,7,3,7,1,1,1,5,5,1,6,4,1,1,4,3
