image_id,Carriageway,Upgrade cost,Motorcycle observed flow,Bicycle observed flow,Pedestrian observed flow across the road,Pedestrian observed flow along the road driver-side,Pedestrian observed flow along the road passenger-side,Land use - driver-side,Land use - passenger-side,Area type,Speed limit,Motorcycle speed limit,Truck speed limit,Differential speed limits,Median type,Centreline rumble strips,Roadside severity - driver-side distance,Roadside severity - driver-side object,Roadside severity - passenger-side distance,Roadside severity - passenger-side object,Shoulder rumble strips,Paved shoulder - driver-side,Paved shoulder - passenger-side,Intersection type,Intersection channelisation,Intersecting road volume,Intersection quality,Property access points,Number of lanes,Lane width,Curvature,Quality of curve,Grade,Road condition,Skid resistance / grip,Delineation,Street lighting,Pedestrian crossing facilities - inspected road,Pedestrian crossing quality,Pedestrian crossing facilities - intersecting road,Pedestrian fencing,Speed management / traffic calming,Vehicle parking,Sidewalk - driver-side,Sidewalk - passenger-side,Service road,Facilities for motorised two wheelers,Facilities for bicycles,Roadworks,Sight distance,School zone warning,School zone crossing supervisor
1,Carriageway A of a divided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Three,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
2,Undivided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,60km/h,60km/h,60km/h,Not present,Centre line,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,4-leg (signalised) with protected turn lane,Present,"10,000 to 15,000 vehicles",Adequate,_None_,Three,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
3,Carriageway A of a divided road,High,2 to 3 motorcycles,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,1 to <5m,Safety barrier - concrete,1 to <5m,Safety barrier - concrete,Not present,Wide ≥2.4m,Wide ≥2.4m,_None_,Not present,"≥15,000 vehicles",Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Adequate,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,Sidewalk 1m to <3m from road,Sidewalk 1m to <3m from road,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
4,Undivided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,80km/h,80km/h,60km/h,Present,Centre line,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Two,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
5,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
6,Undivided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Centre line,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
7,Carriageway A of a divided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,Physical median width 0 to <1m,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Four or more,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
8,Undivided road,High,_None_,_None_,_None_,_None_,_None_,Commercial,Commercial,Urban,80km/h,80km/h,60km/h,Present,One way,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Two,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
9,Undivided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,80km/h,80km/h,60km/h,Not present,One way,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Two,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,_None_,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
10,Undivided road,High,_None_,_None_,_None_,_None_,_None_,Undeveloped areas,Undeveloped areas,Urban,80km/h,80km/h,60km/h,Not present,Centre line,Not present,≥10m,No object,≥10m,No object,Not present,_None_,_None_,_None_,Not present,Not applicable,Not applicable,_None_,Two,Wide ≥3.25m,Straight or gently curving,Not applicable,0% to <7.5%,Good,Sealed - adequate,Adequate,Present,No facility,Not applicable,No facility,Not present,Not present,One side,_None_,_None_,Not present,_None_,_None_,No road works,Adequate,Not applicable (no school at the location),Not applicable (no school at the location)
